id,run,richness,links,connectance,diameter,distance,basal,top,intermediate,predpreyRatio,herbivory,omnivory,cannibal,l_S,GenSD,VulSD,TL,ChLen,ChSD,ChNum,path,LinkSD,S1,S2,S4,S5,centrality,loops,intervals,MaxSim,Clust,trophicCoherence,trophicVar
1,1,85,182,0.02519031141868512,5.0,2.0,0.35294117647058826,0.27058823529411763,0.3764705882352941,1.1272727272727272,0.18823529411764706,0.38823529411764707,0.011764705882352941,2.1411764705882352,1.2401691322552562,1.0372141775291963,2.0939945818070815,2.8656126482213438,1.3205200244893993,5.53338948872752,1.0,1.3451001867500365,0.02906574394463668,0.0029065743944636678,0.03944636678200692,0.05217993079584775,0.011764705882352941,0.011764705882352941,0.0,0.5139699516170103,0.09112093788564377,0.6125082402028125,0.9354469581779812
1,2,85,194,0.02685121107266436,7.0,3.0,0.3176470588235294,0.10588235294117647,0.5764705882352941,1.3103448275862069,0.09411764705882353,0.4588235294117647,0.047058823529411764,2.2823529411764705,1.1325189772198139,0.7637265838271892,2.3528438654664146,5.658031088082901,1.970496115248221,6.361302477572996,1.0452261306532664,1.2329951088684576,0.044290657439446365,0.004290657439446367,0.02920415224913495,0.04885813148788928,0.011764705882352941,0.047058823529411764,0.0,0.4882388526506173,0.15988413547237076,0.9238101679317328,1.3378099848872271
1,3,85,191,0.02643598615916955,5.0,2.0,0.36470588235294116,0.24705882352941178,0.38823529411764707,1.1851851851851851,0.23529411764705882,0.3058823529411765,0.03529411764705882,2.2470588235294118,1.446792881538575,0.8266162167550399,2.0014437666424594,4.431205673758865,1.6109151281081706,6.558197802812269,1.0408163265306123,1.5516054788812437,0.03944636678200692,0.007474048442906575,0.02823529411764706,0.06560553633217993,0.011764705882352944,0.03529411764705882,0.0,0.563030754328332,0.13497872784250492,0.6364339994921595,0.781860680163758
1,4,85,186,0.0257439446366782,7.0,2.0,0.4117647058823529,0.16470588235294117,0.4235294117647059,1.42,0.17647058823529413,0.3764705882352941,0.011764705882352941,2.1882352941176473,1.4356233787356063,0.8268436500171281,1.9102360222628887,4.023593466424682,1.5924214180334868,6.311734809152915,1.0159574468085106,1.483912245171931,0.03515570934256056,0.0033217993079584776,0.02865051903114187,0.06754325259515571,0.011764705882352941,0.023529411764705882,0.0,0.5304369486722426,0.0755171625759861,0.6892422664547764,0.7130666538750438
1,5,85,224,0.031003460207612455,5.0,2.0,0.35294117647058826,0.2,0.4470588235294118,1.2363636363636363,0.21176470588235294,0.3411764705882353,0.047058823529411764,2.635294117647059,1.7139490882643784,0.7917539735628585,2.1051527135645176,3.5813953488372094,1.3554005905049,6.159095388491933,1.0222222222222221,1.7064610312706063,0.04442906574394464,0.008304498269896194,0.04083044982698962,0.13314878892733564,0.011764705882352941,0.047058823529411764,0.0,0.539796213014206,0.11895899179636202,0.6480900615134317,1.0296687241091025
1,6,85,153,0.021176470588235293,5.0,2.0,0.38823529411764707,0.3058823529411765,0.3058823529411765,1.1346153846153846,0.1411764705882353,0.32941176470588235,0.023529411764705882,1.8,1.3602875167257493,1.042173597990292,1.9393980384176464,2.26875,1.2525288884302035,5.075173815233827,1.0,1.4173705860573032,0.017716262975778548,0.0020761245674740486,0.02629757785467128,0.04124567474048443,0.011764705882352941,0.023529411764705882,0.0,0.5348413024883616,0.07401960784313724,0.6634767461885164,0.8667077767950224
1,7,85,261,0.03612456747404844,5.0,2.0,0.3058823529411765,0.24705882352941178,0.4470588235294118,1.0847457627118644,0.10588235294117647,0.4823529411764706,0.047058823529411764,3.070588235294118,1.212093830244718,0.9584690602233552,2.304291599709585,4.265116279069767,1.5796853138428462,6.756932389247553,1.1045296167247387,1.3253815019734492,0.06173010380622837,0.009411764705882352,0.07432525951557094,0.10546712802768166,0.011764705882352941,0.047058823529411764,0.0,0.5254760318901641,0.12410689944426968,0.6850939093252861,1.1190563553518906
1,8,85,181,0.02505190311418685,4.0,2.0,0.35294117647058826,0.3176470588235294,0.32941176470588235,1.0545454545454545,0.16470588235294117,0.35294117647058826,0.03529411764705882,2.1294117647058823,1.3571823887175913,1.0936575380515232,1.9539230714072122,2.358974358974359,1.141692979817206,5.272999558563747,1.0,1.4335507157002312,0.022975778546712802,0.0029065743944636678,0.041799307958477507,0.059377162629757785,0.01176470588235294,0.03529411764705882,0.0,0.5314282449576568,0.10458861976163014,0.6023463260578149,0.7730075496189104
1,9,85,198,0.02740484429065744,4.0,2.0,0.3176470588235294,0.2235294117647059,0.4588235294117647,1.1379310344827587,0.16470588235294117,0.4,0.047058823529411764,2.3294117647058825,1.1707830468121065,1.0010734760350168,1.9521040499533149,3.080508474576271,1.2707349841441669,5.4638318050256105,1.02020202020202,1.274339607227012,0.03529411764705882,0.002629757785467128,0.044844290657439445,0.0584083044982699,0.011764705882352941,0.047058823529411764,0.0,0.5033666007195419,0.09991681521093285,0.5869497585582594,0.7472772000486199
1,10,85,249,0.0344636678200692,6.0,2.0,0.3058823529411765,0.08235294117647059,0.611764705882353,1.3220338983050848,0.21176470588235294,0.4235294117647059,0.047058823529411764,2.929411764705882,1.3260717406297673,0.7519422502092115,2.1248790565787092,4.022443890274314,1.4567069068514868,5.993961427306569,1.008097165991903,1.2492631395500846,0.05024221453287197,0.009688581314878892,0.05079584775086505,0.10892733564013841,0.011764705882352944,0.047058823529411764,0.0,0.5180010618896068,0.14698435207723134,0.6773925271961675,0.799732003020212
