id,model,richness,links,connectance,diameter,complexity,distance,basal,top,intermediate,predpreyRatio,herbivory,omnivory,cannibal,l_S,GenSD,VulSD,TL,ChLen,ChSD,ChNum,path,LinkSD,S1,S2,S4,S5,ρ,centrality,loops,resilience,robustness,intervals,MaxSim,Clust,trophicCoherence,trophicVar,control
3259,connectance_null,20,60,0.15,6,0.922271799945275,1.0,0.0,0.0,1.0,1.0,0.0,0.75,0.0,3.0,0.43259045634870014,0.4836508334066744,3.6622726969953896e16,NaN,NaN,0.0,1.7058823529411764,0.5407380704358752,0.2425,0.0425,0.115,0.1125,0.8188425511696135,0.049999999999999996,1.0,0.6300000000000002,0.5,50,0.29052059052059054,0.26126984126984126,5.797330381134285,26.94736842105263,0.05
3259,degree_null,20,59,0.1475,3,0.8894713413578306,2.0,0.15,0.3,0.55,0.8235294117647058,0.3,0.5,0.0,2.95,0.8899260812699192,1.1767155903532056,2.25749751984127,2.791208791208791,1.1305503430383266,4.51085950651685,1.1323529411764706,0.9454496394782481,0.0775,0.0925,0.3375,0.215,0.9041552762074446,0.05,0.0,0.575,0.5,18,0.38625360750360743,0.3601617826617826,0.6406409459636724,0.45093499168178164,0.35
947,connectance_null,19,49,0.13573407202216067,5,0.9329938151475838,3.0,0.15789473684210525,0.0,0.8421052631578947,1.1875,0.0,0.631578947368421,0.0,2.5789473684210527,0.7116569703739875,0.5967425109066712,9.242769775007194,NaN,NaN,0.0,1.88135593220339,0.888582250779619,0.1772853185595568,0.027700831024930747,0.0997229916897507,0.11080332409972299,0.8270820990295003,0.05263157894736842,0.8421052631578947,0.6072874493927126,0.47368421052631576,20,0.3152939166097061,0.20914786967418544,3.2330536010667155,15.038609415923329,0.15789473684210525
947,degree_null,19,49,0.13573407202216067,5,0.9104127350070108,2.0,0.3157894736842105,0.15789473684210525,0.5263157894736842,1.2307692307692308,0.15789473684210525,0.47368421052631576,0.0,2.5789473684210527,1.0525548537328675,0.8604299351395671,2.4782826153866737,2.2777777777777777,1.2331402680291161,3.58351893845611,1.5066666666666666,0.745449117377019,0.06925207756232687,0.0332409972299169,0.1883656509695291,0.2520775623268698,0.8224514466261684,0.05263157894736842,0.3684210526315789,0.6359649122807017,0.5263157894736842,20,0.4405825168983064,0.24878863826232242,1.3025320656925468,2.2794229135101847,0.3157894736842105
1261,connectance_null,13,14,0.08284023668639054,5,0.9593605744045198,4.0,0.3076923076923077,0.23076923076923078,0.46153846153846156,1.1111111111111112,0.07692307692307693,0.38461538461538464,0.0,1.0769230769230769,0.8007224628952495,0.7053006306475536,3.2087912087912085,2.0,1.8257418583505538,1.3862943611198906,1.793103448275862,1.1895234282663616,0.07100591715976332,0.005917159763313609,0.01775147928994083,0.011834319526627219,0.7795356991806409,0.07692307692307693,0.46153846153846156,0.5615384615384615,0.3076923076923077,0,0.1871794871794872,0.11538461538461539,1.0951584618286587,3.5395081109366817,0.3076923076923077
1261,degree_null,13,15,0.08875739644970414,2,0.8853517857258634,2.0,0.5384615384615384,0.46153846153846156,0.0,1.1666666666666667,0.38461538461538464,0.07692307692307693,0.0,1.1538461538461537,1.2681278122287785,1.5359880400768946,1.5,1.0,0.3779644730092272,2.70805020110221,1.0,1.387777332977422,0.005917159763313609,0.0,0.11834319526627218,0.08284023668639054,0.8309410511681257,0.07692307692307693,0.0,0.7692307692307693,0.46153846153846156,2,0.5307692307692308,0.0,0.1889822365046136,0.3333333333333333,0.5384615384615384
1237,connectance_null,45,201,0.09925925925925926,5,0.9352047750528337,1.0,0.0,0.022222222222222223,0.9777777777777777,0.9777777777777777,0.0,0.8888888888888888,0.0,4.466666666666667,0.4204709310811418,0.4568281450059133,-1.4218873810065301e17,NaN,NaN,0.0,2.388829215896885,0.6375328110916432,0.28987654320987655,0.03358024691358025,0.14419753086419754,0.1362962962962963,0.6695284711843542,0.022222222222222223,0.9777777777777777,0.6810185185185186,0.4888888888888889,497,0.21771082031143948,0.19881353214686542,47.23017839521444,1361.4545454545455,0.022222222222222223
1237,degree_null,45,196,0.09679012345679013,7,0.9147979586770265,4.0,0.4444444444444444,0.17777777777777778,0.37777777777777777,1.48,0.0,0.4888888888888889,0.0,4.355555555555555,1.4669688171556294,0.8522713074086089,2.495841545325391,5.724137931034483,2.0964743598191964,7.337587743538596,1.7270471464019852,1.5591837038242236,0.08345679012345679,0.10123456790123457,0.15506172839506172,0.4074074074074074,0.919809697022134,0.022222222222222223,0.4444444444444444,0.7222222222222223,0.4,127,0.4002539503210002,0.33433212682864943,1.4022567928627034,1.9709468685984532,0.4666666666666667
1259,connectance_null,41,159,0.09458655562165377,6,0.9422954285068146,3.0,0.024390243902439025,0.0,0.975609756097561,1.025,0.0,0.9024390243902439,0.0,3.8780487804878048,0.5195611911370843,0.43223610757060693,116.64151088816766,NaN,NaN,0.0,2.285094066570188,0.6517844655995803,0.24687685901249257,0.02676977989292088,0.12135633551457466,0.1356335514574658,0.6646264630020311,0.024390243902439015,0.975609756097561,0.561411149825784,0.4634146341463415,353,0.21757774745579622,0.1976788793861965,15.941575560187001,405.59771120046537,0.024390243902439025
1259,degree_null,41,168,0.09994051160023795,4,0.916875537725253,4.0,0.6097560975609756,0.0975609756097561,0.2926829268292683,2.3125,0.0975609756097561,0.2926829268292683,0.0,4.097560975609756,1.7306786889800763,0.5973059320124265,1.5111486572979964,4.023372287145242,1.6273543726389468,6.395261598115449,1.5522875816993464,1.5846373970950294,0.08447352766210589,0.06484235574063058,0.13027959547888163,0.6145151695419393,0.8721935630614437,0.024390243902439022,0.14634146341463414,0.8048780487804877,0.43902439024390244,94,0.5266749145008187,0.3100021254009087,0.5740698612293955,0.4349159274801135,0.6097560975609756
