metric,rep_name,r2_ols,rmse_ols
robustness,complexity,0.06077082877579218,0.9255578713318872
robustness,medoids,-0.05016695552262255,0.9567834804931349
robustness,dominant,-0.10798766220551162,0.9864900007793801
robustness,pca_score,0.17457215913937282,0.825116080412384
robustness,may,-0.09341674188754501,1.0055868184439811
ρ,complexity,0.17296884971249513,0.831493022861918
ρ,medoids,0.16949381055710672,0.8221575864175479
ρ,dominant,0.3253137398165258,0.7653125311744846
ρ,pca_score,0.5985034584678776,0.5679893292671094
ρ,may,-0.16065737884160342,1.012013565264057
control,complexity,-0.07559464751771404,0.9973107317059422
control,medoids,0.7134157692982441,0.5008008573401967
control,dominant,0.5692514545131694,0.5775086793628472
control,pca_score,0.7533038191640093,0.4577972960374011
control,may,-0.07791802038800075,0.9885433619198025
resilience,complexity,-0.09397450189594031,1.0104048890883588
resilience,medoids,0.6254689781217998,0.5423164800812844
resilience,dominant,0.4697714857998807,0.6470696848224375
resilience,pca_score,0.7928453263335342,0.39672316432877347
resilience,may,-0.15402409869390765,1.001466886893664
