"PC1","PC2","PC3","PC4","PC5"
0.2730661235504,-0.814915288002377,2.7656816463118,-0.0847618201522225,-2.73794483779657
-0.961113956039624,-2.8754361042195,0.255906459954412,-1.76941613567183,-0.0171220161090478
0.718151396252711,1.29400707731699,1.62485692409148,0.586949484303471,-0.987955988087327
6.54353797664966,-4.03878432472088,1.40978822533736,1.23691031552022,3.23450545016634
-1.0075313000242,1.14374867377082,1.41385809606969,1.53219858058067,-2.16239903736848
11.4909016707472,-2.96460375460909,-7.2746217795792,-3.14871893869606,-1.7831106037182
4.53897236780203,2.04632679236769,-4.86183680245062,-2.48285311789179,1.02890200645635
3.50376041098958,-0.263656675092906,1.29943558389048,1.13728293891042,1.09256980844499
2.49665633513102,0.0495016243955374,0.868200420943401,0.872705456801502,1.34327668928914
-0.899039757972011,-3.06941147801574,-0.552039307397025,-1.40992505455166,-1.23203726655233
2.17476652255643,-1.73523076670802,2.32076744744201,-0.456370083660975,0.861295072064401
-2.10989609917687,2.73341655515526,-0.406327850203097,-2.13260002381648,-1.70579844285065
0.696810082912223,2.59236199835455,-0.54160975445724,0.251271920755869,-1.37064034704665
-3.48846298731217,2.62926104441579,-0.679980601322845,-1.44785200520068,0.377885922423667
-0.50727993892196,-0.151561669120197,-1.62867527266238,-1.05846207237308,1.7901967501839
-3.36091239103573,0.731421952083627,-1.89286796640633,-1.26426716999002,0.320347440927315
-5.04952149404265,0.901128158063987,0.103432546054459,-2.39137008294081,-0.6565849896786
-3.62858802212173,1.93930556924419,-0.520785835766434,-0.613050301696397,1.62847411090581
-4.35265077763199,-0.439807355046268,-0.48804762254742,-0.827810524728536,-0.799989420258536
0.901517438030878,2.64716683556769,-1.76586328286591,0.249084372316767,1.60991599371903
0.329477265243852,3.61570687072048,0.500335280138184,2.60381942286996,-0.351941399395361
-0.286513535618064,4.26740345405843,-0.701685687808052,1.709772097342,0.147177984255118
2.49461926902841,3.71650252841981,0.823718333728165,2.87287532392371,-1.44509725984956
0.445747584643628,2.05923773870241,0.79744129966311,0.973203872553133,-1.76089044083531
2.87706829066744,3.00874463372333,0.810798343221598,3.44974258244133,-1.24245368893932
