"Metric","Cluster"
"richness",1
"links",1
"connectance",2
"diameter",3
"distance",4
"basal",3
"top",2
"intermediate",3
"predpreyRatio",3
"herbivory",3
"omnivory",3
"cannibal",3
"l_S",1
"GenSD",3
"VulSD",2
"TL",3
"ChLen",3
"ChSD",3
"ChNum",2
"path",4
"LinkSD",3
"S1",3
"S2",3
"S4",1
"S5",1
"centrality",2
"loops",3
"intervals",1
"MaxSim",5
"Clust",3
"trophicCoherence",3
"trophicVar",3
