"Metric","Cluster"
"richness",1
"links",1
"connectance",2
"diameter",1
"distance",3
"basal",4
"top",5
"intermediate",6
"predpreyRatio",4
"herbivory",5
"omnivory",6
"cannibal",1
"l_S",1
"GenSD",4
"VulSD",5
"TL",6
"ChLen",6
"ChSD",6
"ChNum",5
"path",3
"LinkSD",5
"S1",1
"S2",1
"S4",1
"S5",1
"centrality",2
"loops",1
"intervals",1
"MaxSim",2
"Clust",6
"trophicCoherence",6
"trophicVar",6
