"Metric","Cluster"
"richness",1
"links",1
"connectance",1
"diameter",1
"distance",2
"basal",3
"top",1
"intermediate",3
"predpreyRatio",3
"herbivory",3
"omnivory",3
"cannibal",1
"l_S",1
"GenSD",3
"VulSD",1
"TL",3
"ChLen",3
"ChSD",2
"ChNum",1
"path",2
"LinkSD",1
"S1",1
"S2",1
"S4",1
"S5",1
"centrality",1
"loops",1
"intervals",1
"MaxSim",4
"Clust",3
