id,richness,links,connectance,diameter,complexity,distance,basal,top,generality,vulnerability,S1,S2,S4,S5
3259,20,50,0.125,7,0.8952691016117368,1.0,3.0,6.0,1.820930936000652,2.8003759146153744,55.0,0.0,112.0,69.0
947,19,58,0.16066481994459833,11,0.8973405201402957,1.0,2.0,3.0,2.778362511554969,2.6346765395084573,68.0,23.0,99.0,106.0
1261,13,17,0.10059171597633136,6,0.9754799733756835,2.0,7.0,3.0,1.797434068545834,1.4935759876113541,0.0,0.0,16.0,19.0
1237,45,211,0.10419753086419753,41,0.8508717987437875,3.0,20.0,4.0,7.060846659966179,4.176896532889538,257.0,50.0,474.0,803.0
1259,41,169,0.10053539559785842,40,0.8495639011192967,3.0,25.0,0.0,7.308197869349255,1.9773103189840928,162.0,48.0,216.0,1070.0
1243,35,92,0.07510204081632653,32,0.8812228043952746,2.0,20.0,1.0,4.9174701427707745,3.1256595942552132,0.0,0.0,239.0,378.0
1231,22,58,0.11983471074380166,20,0.9236515708343849,3.0,11.0,0.0,4.041987424233572,1.7874018000453045,0.0,0.0,42.0,51.0
1238,16,25,0.09765625,14,0.959386367912684,2.0,9.0,0.0,2.5024987512484396,1.3647344063956182,0.0,0.0,20.0,32.0
1258,22,36,0.0743801652892562,12,0.9571416823845703,2.0,13.0,9.0,2.735053835031311,2.9039456663134096,0.0,0.0,100.0,90.0
1223,15,19,0.08444444444444445,14,0.9737794671730475,3.0,8.0,1.0,2.4918916127158917,1.3345232785352157,10.0,0.0,15.0,46.0
88,46,127,0.06001890359168242,17,0.9158441745625645,2.0,31.0,15.0,4.677058822278499,2.8766089805625548,0.0,0.0,298.0,604.0
92,29,203,0.2413793103448276,24,0.8552680224502017,1.0,2.0,0.0,6.152815847816579,5.092010548749033,129.0,77.0,204.0,179.0
96,16,61,0.23828125,14,0.8192141835656614,3.0,5.0,2.0,4.182802091102726,2.7378519560658012,20.0,114.0,28.0,103.0
98,14,23,0.11734693877551021,7,0.9326699618358462,2.0,3.0,2.0,1.9848325973644323,0.928782731664065,24.0,10.0,3.0,23.0
99,9,15,0.18518518518518517,4,0.933383670300663,2.0,3.0,1.0,1.5811388300841898,0.8660254037844386,18.0,3.0,5.0,12.0
100,14,32,0.16326530612244897,5,0.9320796682832571,1.0,1.0,2.0,1.5898026693500449,1.85756546332813,38.0,16.0,17.0,13.0
